#heuristic2.csv
#
#
#
group,number,graphname,n_vertices,n_edges,duration,studentDfvsLen,studentDfvs,goodDfvsLen
h2,58936,cyc_0100-03.txt,100,315,100,0,,0
h2,58937,cyc_0100-03.txt,100,315,300,0,,0
h2,58938,cyc_0100-03.txt,100,315,200,0,,0
h2,58939,cyc_0100-03.txt,100,315,200,0,,0
h2,58940,cyc_0100-03.txt,100,315,200,0,,0
h2,58941,cyc_0100-03.txt,100,315,200,0,,0
h2,58942,cyc_0100-03.txt,100,315,400,0,,0
h2,58943,cyc_0100-03.txt,100,315,200,0,,0
h2,58944,cyc_0100-03.txt,100,315,800,0,,0
h2,58945,cyc_0100-03.txt,100,315,200,0,,0
h2,58946,cyc_0100-03.txt,100,315,1200,0,,0
h2,58947,cyc_0100-03.txt,100,315,200,0,,0
h2,58948,cyc_0100-03.txt,100,315,300,0,,0
h2,58949,cyc_0100-03.txt,100,315,300,0,,0
h2,58950,cyc_0100-03.txt,100,315,100,0,,0
h2,58951,cyc_0100-03.txt,100,315,300,0,,0
h2,58952,cyc_0100-03.txt,100,315,200,0,,0
h2,58953,cyc_0100-03.txt,100,315,200,0,,0
h2,58954,cyc_0100-03.txt,100,315,300,0,,0
h2,58955,cyc_0100-03.txt,100,315,200,0,,0
h2,58956,cyc_0100-03.txt,100,315,300,0,,0
h2,58957,cyc_0100-03.txt,100,315,100,0,,0
h2,58958,cyc_0100-03.txt,100,315,300,0,,0
h2,58959,cyc_0100-03.txt,100,315,300,0,,0
h2,58960,cyc_0100-03.txt,100,315,400,0,,0
h2,58961,cyc_0100-03.txt,100,315,300,0,,0
h2,58962,cyc_0100-03.txt,100,315,400,0,,0
h2,58963,cyc_0100-03.txt,100,315,300,0,,0
h2,58964,cyc_0100-03.txt,100,315,300,0,,0
h2,58965,cyc_0100-03.txt,100,315,200,0,,0
h2,58966,cyc_0100-03.txt,100,315,300,0,,0
h2,58967,cyc_0100-03.txt,100,315,200,0,,0
h2,58968,cyc_0100-03.txt,100,315,400,0,,0
h2,58969,cyc_0100-03.txt,100,315,200,0,,0
h2,58970,cyc_0100-03.txt,100,315,200,0,,0
h2,58971,cyc_0100-03.txt,100,315,300,0,,0
h2,58972,cyc_0100-03.txt,100,315,200,0,,0
h2,58973,cyc_0100-03.txt,100,315,200,0,,0
h2,58974,cyc_0100-03.txt,100,315,300,0,,0
h2,58975,cyc_0100-03.txt,100,315,100,0,,0
h2,58976,cyc_0100-03.txt,100,315,100,0,,0
h2,58977,cyc_0100-03.txt,100,315,200,0,,0
h2,58978,cyc_0100-03.txt,100,315,200,0,,0
h2,58979,cyc_0100-03.txt,100,315,200,0,,0
h2,58980,cyc_0100-03.txt,100,315,700,0,,0
h2,58981,cyc_0100-03.txt,100,315,200,0,,0
h2,58982,cyc_0100-03.txt,100,315,200,0,,0
h2,58983,cyc_0100-03.txt,100,315,300,0,,0
h2,58984,cyc_0100-03.txt,100,315,200,0,,0
h2,58985,cyc_0100-03.txt,100,315,200,0,,0
h2,58986,cyc_0100-03.txt,100,315,300,0,,0
h2,58987,cyc_0100-03.txt,100,315,300,0,,0
h2,58988,cyc_0100-03.txt,100,315,200,0,,0
h2,58989,cyc_0100-03.txt,100,315,300,0,,0
h2,58990,cyc_0100-03.txt,100,315,300,0,,0
h2,58991,cyc_0100-03.txt,100,315,300,0,,0
